Número de expediente,fecha_publicacion,anio_publicacion,mes_publicacion,ambito_geografico,comunidad_autonoma,Tipo de contrato,Tipo de Administración,tipo_organo,Tipo de procedimiento,procedimiento_agrupado,Tramitación,presupuesto_expediente,Presupuesto base sin impuestos oportunidad,Valor estimado del contrato,tramo_presupuesto,duracion_meses,tramo_duracion,tiene_lotes,numero_lotes_dashboard,Resultado licitación/lote,resultado_agrupado,ganador_grupo,gano_gee,decision_licitacion,objeto_normalizado
PIC2019_24298,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,13750.0,13750.0,55000.0,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,CONTRATACION DEL SERVICIO DE MANTENIMIENTO INTEGRAL DE LA CENTRAL DE ESTERILIZACION DEL HOSPITAL FRATERNIDAD MUPRESPA HABANA
PIC2019_24682,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,12000.0,12000.0,120000.0,10.000 – 25.000 €,12.0,12 – 24 meses,True,2,Desierto,Desierto,Otros,False,No licita,EQUIPO DE RAYOS X DIGITAL PHILIPS ESSENTA DR
PIC2019_24768,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,80000.0,80000.0,80000.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,SERVICIO DE MANTENIMIENTO INTEGRAL DE LOS EQUIPOS DE ELECTROMEDICINA UBICADOS EN EL HOSPITAL MADRE DE DIOS DE FRATERNIDAD MUPRESPA
PN2019/000008,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Otras Entidades del Sector Público,Universidad,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,15600.0,15600.0,15600.0,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DEL SISTEMA DIGITALIZACION DE IMAGENES RADIOLOGICAS PARA LA UNIVERSIDAD COMPLUTENSE DE MADRID
SER-19-067-ESPQ,2019-04-01,2019.0,4.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,16810.0,16810.0,,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO LABORATORIO DE VALORACION FUNCIONAL DE QUART DE POBLET
(A02003515)-3/2019,2019-05-01,2019.0,5.0,es24,Aragón,Servicios,Organismo de Derecho público,Investigación,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,10908.0,10908.0,10908.0,10.000 – 25.000 €,7.0,6 – 12 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,CONTRATACION POR PROCEDIMIENTO NEGOCIADO SIN PUBLICIDAD CON EXCLUSIVIDAD DEL SERVICIO DE MANTENIMIENTO DEL EQUIPO DE ESPECTROMETRIA DE MASAS 4000QTRAP DEL SERVICIO CIENTIFICO TECNICO DE PROTEOMICA DEL INSTITUTO ARAGONES DE CIENCIAS DE LA SALUD
006/2019,2019-05-01,2019.0,5.0,es51,Cataluña,Servicios,Organismo de Derecho público,Empresa Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,708767.04,708767.04,708767.04,500.000 – 1 M€,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SISTEMA DE INSPECCION DE CONTENEDORES NO INTRUSIVO MB1215H
030-2019-0289,2019-05-01,2019.0,5.0,es51,Cataluña,Servicios,Otras Entidades del Sector Público,Mutua,Abierto,Abierto,Ordinaria,252000.0,252000.0,700800.0,250.000 – 500.000 €,24.0,24 – 36 meses,True,2,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO CORRECTIVO DIGITALIZADORAS
112019PAS1004,2019-05-01,2019.0,5.0,es61,Andalucía,Servicios,Autoridad estatal,Investigación,Abierto simplificado,Abierto simplificado,Ordinaria,7000.0,7000.0,7000.0,< 10.000 €,3.0,< 6 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE MANTENIMIENTO CERTIFICACION Y CALIBRACION DE APARATOS MEDICOS DE SANIDAD MARITIMA
2019-SES-008,2019-05-01,2019.0,5.0,es53,Illes Balears,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto simplificado,Abierto simplificado,Ordinaria,20190.0,20190.0,20190.0,10.000 – 25.000 €,60.0,60 – 120 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,ADQUISICION EQUIPOS MEDICION DE BALANCES ARTICULARES Y SERVICIO DE SOPORTE Y MANTENIMIENTO PARA MUTUA BALEAR
2019-SES-016,2019-05-01,2019.0,5.0,es53,Illes Balears,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,72463.13,72463.13,128051.09,50.000 – 100.000 €,36.0,36 – 60 meses,True,2,Adjudicado,Adjudicado,Otros,False,No licita,EQUIPOS CENTROS MUTUA BALEAR BALEARES
2019/000184,2019-05-01,2019.0,5.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,90000.0,90000.0,90000.0,50.000 – 100.000 €,18.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,S MANTENIMIENTO DE T A C HELICOIDAL MULTICORTE DE 64 CORTES 61033000CU19SER00011
2019/000259,2019-05-01,2019.0,5.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,4365.0,4365.0,7275.0,< 10.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO PREVENTIVO DE UN EQUIPO DE RX ARCO QUIRURGICO MARCA XI SCAN INSTALADO EN EL HOSPITAL GENERAL UNIVERSITARIO DE CIUDAD REAL 61032000CR19SER00006
2019/000624,2019-05-01,2019.0,5.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,79042.41,79042.41,79042.41,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,siemens,False,No licita,MANTENIMIENTO ACELERADOR LINEAL PRIMUS MEVATROM 61031000AB19SER00020
2019/000664,2019-05-01,2019.0,5.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,45079.93,45079.93,45079.93,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO EQUIPO DOSIMETRIA PTW FREIBURG 61031000AB19SER00019
2019/008413,2019-05-01,2019.0,5.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto simplificado,Abierto simplificado,Ordinaria,13969.9,13969.9,27939.8,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO PARA EQUIPOS DE LABORATORIO ULTRACONGELADORES CONGELADOR PLASMA INCUBADORES Y ESTUFAS Y CAMARA ANAEROBIOS INSTALADOS EN HGUCR 61032000CR19SER00027
2019/213/00008,2019-05-01,2019.0,5.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Servicio de Salud,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,31462.0,31462.0,31462.0,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE VERIFICACION CALIBRACION Y MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS EQUIPOS THERMO FISHER SCIENTIFIC S L U INSTALADOS EN LA AGENCIA ESPANOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS
2020008514 PN 010/2019/3003,2019-05-01,2019.0,5.0,es41,Castilla y León,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,13338.16,13338.16,13338.16,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,getinge,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE BALONES DE CONTRAPULSACION OPERATIVOS EN EL COMPLEJO ASISTENCIAL UNIVERSITARIO DE LEON
